学科代码,学科名称,学科门类,学校代码,学校名称,评估等级,省份,城市
301,法学,人文社科类,11835,上海政法学院,B-,上海市,上海市
301,法学,人文社科类,10007,北京理工大学,C+,北京市,北京市
301,法学,人文社科类,10030,北京外国语大学,C+,北京市,北京市
301,法学,人文社科类,10075,河北大学,C+,河北省,保定市
301,法学,人文社科类,10108,山西大学,C+,山西省,太原市
301,法学,人文社科类,10126,内蒙古大学,C+,内蒙古自治区,呼和浩特市
301,法学,人文社科类,10254,上海海事大学,C+,上海市,上海市
301,法学,人文社科类,10273,上海对外经贸大学,C+,上海市,上海市
301,法学,人文社科类,10280,上海大学,C+,上海市,上海市
301,法学,人文社科类,10385,华侨大学,C+,福建省,泉州市
301,法学,人文社科类,10511,华中师范大学,C+,湖北省,武汉市
301,法学,人文社科类,10657,贵州大学,C+,贵州省,贵阳市
301,法学,人文社科类,10755,新疆大学,C+,新疆维吾尔自治区,乌鲁木齐市
301,法学,人文社科类,11078,广州大学,C+,广东省,广州市
301,法学,人文社科类,11646,宁波大学,C+,浙江省,宁波市
301,法学,人文社科类,11846,广东外语外贸大学,C+,广东省,广州市
301,法学,人文社科类,10004,北京交通大学,C,北京市,北京市
301,法学,人文社科类,10028,首都师范大学,C,北京市,北京市
301,法学,人文社科类,10065,天津师范大学,C,天津市,天津市
301,法学,人文社科类,10125,山西财经大学,C,山西省,太原市
301,法学,人文社科类,10166,沈阳师范大学,C,辽宁省,沈阳市
301,法学,人文社科类,10173,东北财经大学,C,辽宁省,大连市
301,法学,人文社科类,10251,华东理工大学,C,上海市,上海市
301,法学,人文社科类,10294,河海大学,C,江苏省,南京市
301,法学,人文社科类,10394,福建师范大学,C,福建省,福州市
301,法学,人文社科类,10484,河南财经政法大学,C,河南省,郑州市
301,法学,人文社科类,10524,中南民族大学,C,湖北省,武汉市
301,法学,人文社科类,10656,西南民族大学,C,四川省,成都市
301,法学,人文社科类,10674,昆明理工大学,C,云南省,昆明市
301,法学,人文社科类,11117,扬州大学,C,江苏省,扬州市
301,法学,人文社科类,11832,河北经贸大学,C,河北省,石家庄市
301,法学,人文社科类,10009,北方工业大学,C-,北京市,北京市
301,法学,人文社科类,10011,北京工商大学,C-,北京市,北京市
301,法学,人文社科类,10079,华北电力大学,C-,北京市,北京市
301,法学,人文社科类,10270,上海师范大学,C-,上海市,上海市
301,法学,人文社科类,10327,南京财经大学,C-,江苏省,南京市
301,法学,人文社科类,10346,杭州师范大学,C-,浙江省,杭州市
301,法学,人文社科类,10378,安徽财经大学,C-,安徽省,蚌埠市
301,法学,人文社科类,10497,武汉理工大学,C-,湖北省,武汉市
301,法学,人文社科类,10574,华南师范大学,C-,广东省,广州市
301,法学,人文社科类,10593,广西大学,C-,广西壮族自治区,南宁市
301,法学,人文社科类,10602,广西师范大学,C-,广西壮族自治区,桂林市
301,法学,人文社科类,11065,青岛大学,C-,山东省,青岛市
301,法学,人文社科类,11482,浙江财经大学,C-,浙江省,杭州市
302,政治学,人文社科类,10001,北京大学,A+,北京市,北京市
302,政治学,人文社科类,10246,复旦大学,A+,上海市,上海市
302,政治学,人文社科类,10002,中国人民大学,A,北京市,北京市
302,政治学,人文社科类,10003,清华大学,A-,北京市,北京市
302,政治学,人文社科类,10055,南开大学,A-,天津市,天津市
302,政治学,人文社科类,10183,吉林大学,A-,吉林省,长春市
302,政治学,人文社科类,10511,华中师范大学,A-,湖北省,武汉市
302,政治学,人文社科类,10053,中国政法大学,B+,北京市,北京市
302,政治学,人文社科类,10065,天津师范大学,B+,天津市,天津市
302,政治学,人文社科类,10269,华东师范大学,B+,上海市,上海市
302,政治学,人文社科类,10271,上海外国语大学,B+,上海市,上海市
302,政治学,人文社科类,10284,南京大学,B+,江苏省,南京市
302,政治学,人文社科类,10384,厦门大学,B+,福建省,厦门市
302,政治学,人文社科类,10422,山东大学,B+,山东省,济南市
302,政治学,人文社科类,10673,云南大学,B+,云南省,昆明市
302,政治学,人文社科类,10036,对外经济贸易大学,B,北京市,北京市
302,政治学,人文社科类,10200,东北师范大学,B,吉林省,长春市
302,政治学,人文社科类,10276,华东政法大学,B,上海市,上海市
302,政治学,人文社科类,10285,苏州大学,B,江苏省,苏州市
302,政治学,人文社科类,10486,武汉大学,B,湖北省,武汉市
302,政治学,人文社科类,10558,中山大学,B,广东省,广州市
302,政治学,人文社科类,10559,暨南大学,B,广东省,广州市
302,政治学,人文社科类,10027,北京师范大学,B-,北京市,北京市
302,政治学,人文社科类,10030,北京外国语大学,B-,北京市,北京市
302,政治学,人文社科类,10108,山西大学,B-,山西省,太原市
302,政治学,人文社科类,10247,同济大学,B-,上海市,上海市
302,政治学,人文社科类,10319,南京师范大学,B-,江苏省,南京市
302,政治学,人文社科类,10542,湖南师范大学,B-,湖南省,长沙市
302,政治学,人文社科类,10574,华南师范大学,B-,广东省,广州市
302,政治学,人文社科类,10610,四川大学,B-,四川省,成都市
302,政治学,人文社科类,10638,西华师范大学,B-,四川省,南充市
302,政治学,人文社科类,10028,首都师范大学,C+,北京市,北京市
302,政治学,人文社科类,10248,上海交通大学,C+,上海市,上海市
302,政治学,人文社科类,10270,上海师范大学,C+,上海市,上海市
302,政治学,人文社科类,10385,华侨大学,C+,福建省,泉州市
302,政治学,人文社科类,10530,湘潭大学,C+,湖南省,湘潭市
302,政治学,人文社科类,10590,深圳大学,C+,广东省,深圳市
302,政治学,人文社科类,10652,西南政法大学,C+,重庆市,重庆市
302,政治学,人文社科类,10140,辽宁大学,C,辽宁省,沈阳市
302,政治学,人文社科类,10212,黑龙江大学,C,黑龙江省,哈尔滨市
302,政治学,人文社科类,10345,浙江师范大学,C,浙江省,金华市
302,政治学,人文社科类,10423,中国海洋大学,C,山东省,青岛市
302,政治学,人文社科类,10459,郑州大学,C,河南省,郑州市
302,政治学,人文社科类,10476,河南师范大学,C,河南省,新乡市
302,政治学,人文社科类,11846,广东外语外贸大学,C,广东省,广州市
302,政治学,人文社科类,10165,辽宁师范大学,C-,辽宁省,大连市
302,政治学,人文社科类,10447,聊城大学,C-,山东省,聊城市
302,政治学,人文社科类,10608,广西民族大学,C-,广西壮族自治区,南宁市
302,政治学,人文社科类,10663,贵州师范大学,C-,贵州省,贵阳市
302,政治学,人文社科类,10718,陕西师范大学,C-,陕西省,西安市
302,政治学,人文社科类,10719,延安大学,C-,陕西省,延安市
302,政治学,人文社科类,10755,新疆大学,C-,新疆维吾尔自治区,乌鲁木齐市
302,政治学,人文社科类,11065,青岛大学,C-,山东省,青岛市
303,社会学,人文社科类,10001,北京大学,A+,北京市,北京市
303,社会学,人文社科类,10002,中国人民大学,A+,北京市,北京市
303,社会学,人文社科类,10284,南京大学,A,江苏省,南京市
303,社会学,人文社科类,10003,清华大学,A-,北京市,北京市
303,社会学,人文社科类,10246,复旦大学,A-,上海市,上海市
303,社会学,人文社科类,10280,上海大学,A-,上海市,上海市
303,社会学,人文社科类,10052,中央民族大学,B+,北京市,北京市
303,社会学,人文社科类,10055,南开大学,B+,天津市,天津市
303,社会学,人文社科类,10183,吉林大学,B+,吉林省,长春市
303,社会学,人文社科类,10251,华东理工大学,B+,上海市,上海市
303,社会学,人文社科类,10269,华东师范大学,B+,上海市,上海市
303,社会学,人文社科类,10487,华中科技大学,B+,湖北省,武汉市
303,社会学,人文社科类,10558,中山大学,B+,广东省,广州市
