学科代码,学科名称,学科门类,学校代码,学校名称,评估等级
0305,马克思主义理论,人文社科类,10497,武汉理工大学,B+
0305,马克思主义理论,人文社科类,10530,湘潭大学,B+
0305,马克思主义理论,人文社科类,10532,湖南大学,B+
0305,马克思主义理论,人文社科类,10602,广西师范大学,B+
0305,马克思主义理论,人文社科类,10613,西南交通大学,B+
0305,马克思主义理论,人文社科类,10718,陕西师范大学,B+
0305,马克思主义理论,人文社科类,10730,兰州大学,B+
0305,马克思主义理论,人文社科类,91001,国防大学,B+
0305,马克思主义理论,人文社科类,10008,北京科技大学,B
0305,马克思主义理论,人文社科类,10053,中国政法大学,B
0305,马克思主义理论,人文社科类,10094,河北师范大学,B
0305,马克思主义理论,人文社科类,10151,大连海事大学,B
0305,马克思主义理论,人文社科类,10212,黑龙江大学,B
0305,马克思主义理论,人文社科类,10217,哈尔滨工程大学,B
0305,马克思主义理论,人文社科类,10248,上海交通大学,B
0305,马克思主义理论,人文社科类,10270,上海师范大学,B
0305,马克思主义理论,人文社科类,10287,南京航空航天大学,B
0305,马克思主义理论,人文社科类,10345,浙江师范大学,B
0305,马克思主义理论,人文社科类,10370,安徽师范大学,B
0305,马克思主义理论,人文社科类,10384,厦门大学,B
0305,马克思主义理论,人文社科类,10475,河南大学,B
0305,马克思主义理论,人文社科类,10491,中国地质大学,B
0305,马克思主义理论,人文社科类,10534,湖南科技大学,B
0305,马克思主义理论,人文社科类,10542,湖南师范大学,B
0305,马克思主义理论,人文社科类,10561,华南理工大学,B
0305,马克思主义理论,人文社科类,10663,贵州师范大学,B
0305,马克思主义理论,人文社科类,10700,西安理工大学,B
0305,马克思主义理论,人文社科类,10755,新疆大学,B
0305,马克思主义理论,人文社科类,10762,新疆师范大学,B
0305,马克思主义理论,人文社科类,11117,扬州大学,B
0305,马克思主义理论,人文社科类,11414,中国石油大学,B
0305,马克思主义理论,人文社科类,10006,北京航空航天大学,B-
0305,马克思主义理论,人文社科类,10075,河北大学,B-
0305,马克思主义理论,人文社科类,10108,山西大学,B-
0305,马克思主义理论,人文社科类,10126,内蒙古大学,B-
0305,马克思主义理论,人文社科类,10165,辽宁师范大学,B-
0305,马克思主义理论,人文社科类,10214,哈尔滨理工大学,B-
0305,马克思主义理论,人文社科类,10251,华东理工大学,B-
